question,answer
"How many significant figures are there in the number 23,400?",3
You’ve counted exactly 500 colonies on your plate. Express this number in scientific notation using the correct number of significant figures.,5.00×10^2
How many significant figures are in the measurement 0.0050 g?,2
"Express 15,000 in scientific notation.",1.5×10^4
How many significant figures are in the number 1.020?,4
Write 0.0003 in scientific notation.,3×10^−4
Convert 4.5×10^3 into standard notation.,"4,500"
Round 12.345 to three significant figures.,12.3
"How many significant figures are in the number 1,000,001?",7
Express 0.000025 in scientific notation.,2.5×10^−5
How many significant figures are in 100.0 mL?,4
Convert 6.0×10^−2 to standard notation.,0.06
I added 188.0 μL of selection drug to 9.0 mL of media. What is my final volume in scientific notation (w/ correct significant figures)?,9.2 ×10^0 mL
I have 9.0 mL of 0.500M NaOH. How many moles of OH- ions do I have (w/ correct significant figures)?,4.5 ×10^-3 mol
"How many milliliters are there in 16,000 μL?",16 mL
How many microliters are there in 0.6 mL?,600 μL
How many kilograms is 1×10^3 g?,1 kg
How many kilograms is 1×10^3 mg?,0.001 kg
How many micrograms are there in 4800 ng?,4.8 μg
Convert 5 L to mL.,"5,000 mL"
Convert 250 μL to mL.,0.25 mL
How many micrograms are in 0.02 mg?,20 μg
Convert 1.5 kg to grams.,"1,500 g"
How many liters is 500 mL?,0.5 L
Convert 10 mL to Liters.,0.01 L
How many picograms are in 75 ng?,"75,000 pg"
Convert 0.1 mL to μL.,100 μL
I have a stock solution of 1000X ampicillin and I want to make 50 mL of media with 1X ampicillin. How much stock ampicillin should I add?,50 μL
1000X ampicillin is 100 mg/mL. What is the concentration of 1X ampicillin in μg/μL?,0.1 μg/μL
1000X ampicillin is 100 mg/mL. How many micrograms of ampicillin are in my 50 mL of media with 1X ampicillin?,"5,000 μg"
You have 50X TAE buffer. How much stock do you need to make 1 L of 1X TAE?,20 mL
"You have 10X PBS. To make 500 mL of 1X PBS, how much water do you add to the stock?",450 mL
How much 20X SSC stock is needed to make 100 mL of 2X SSC?,10 mL
"Your PCR buffer is 5X. If your final reaction volume is 50 μL, how much buffer do you add?",10 μL
A restriction enzyme is 10X. You want a 20 μL reaction at 1X. How much enzyme stock do you use?,2 μL
You have 100X BSA. How much do you add to a 1 mL total volume to reach 1X?,10 μL
You have 400X loading dye. You want 400 μL of 1X dye. How much stock do you use?,1 μL
You need 10 mL of 1X solution from a 500X stock. How many μL of stock is that?,20 μL
"If you add 2 mL of 10X buffer to water to make 1X buffer, how much water do you need?",18 mL
I have 100 mL of 10M NaOH. I’m making 1 mL aliquots. How many tubes should I label?,100 tubes
I have 100 mL of 10M NaOH. I’m making 1 mL aliquots of 0.1M NaOH. How many can I make?,"10,000 tubes"
The molecular weight of a salt is 100 g/mol. How many grams do you need for 1 L of a 1M solution?,100 g
A compound has a MW of 200. How many grams are needed for 1 L of a 0.5M solution?,100 g
